grid,probability
"(34, 49)",0.57
"(34, 50)",0.75
"(34, 51)",0.86
"(34, 52)",0.87
"(34, 53)",0.88
"(34, 54)",0.82
"(34, 55)",0.63
"(34, 56)",0.72
"(34, 57)",0.74
"(34, 58)",0.7
"(34, 59)",0.71
"(34, 60)",0.68
"(34, 61)",0.54
"(34, 62)",0.61
"(34, 63)",0.79
"(34, 64)",0.73
"(34, 65)",0.76
"(34, 66)",0.82
"(35, 0)",0.5
"(35, 1)",0.53
"(35, 2)",0.91
"(35, 3)",0.94
"(35, 4)",0.83
"(35, 5)",0.76
"(35, 6)",0.68
"(35, 7)",0.78
"(35, 8)",0.93
"(35, 9)",0.81
"(35, 10)",0.84
"(35, 11)",0.85
"(35, 12)",0.95
"(35, 13)",0.94
"(35, 14)",0.91
"(35, 15)",0.91
"(35, 16)",0.98
"(35, 17)",1.0
"(35, 18)",0.99
"(35, 19)",0.99
"(35, 20)",0.99
"(35, 21)",1.0
"(35, 22)",0.94
"(35, 23)",0.98
"(35, 24)",0.91
"(35, 25)",0.93
"(35, 26)",0.97
"(35, 27)",0.98
"(35, 28)",0.96
"(35, 29)",0.95
"(35, 30)",0.93
"(35, 31)",0.9
"(35, 32)",0.84
"(35, 33)",0.79
"(35, 34)",0.72
"(35, 35)",0.79
"(35, 36)",0.8
"(35, 37)",0.93
"(35, 38)",0.95
"(35, 39)",0.94
"(35, 40)",0.95
"(35, 41)",0.97
"(35, 42)",0.96
"(35, 43)",0.96
"(35, 44)",0.97
"(35, 45)",0.94
"(35, 46)",0.76
"(35, 47)",0.77
"(35, 48)",0.71
"(35, 49)",0.54
"(35, 50)",0.69
"(35, 51)",0.74
"(35, 52)",0.77
"(35, 53)",0.78
"(35, 54)",0.71
"(35, 55)",0.51
"(35, 56)",0.6
"(35, 57)",0.62
"(35, 58)",0.57
"(35, 59)",0.57
"(35, 60)",0.52
"(35, 61)",0.24
"(35, 62)",0.33
"(35, 63)",0.54
"(35, 64)",0.54
"(35, 65)",0.59
"(35, 66)",0.63
"(36, 0)",0.47
"(36, 1)",0.52
"(36, 2)",0.86
"(36, 3)",0.9
"(36, 4)",0.84
"(36, 5)",0.73
"(36, 6)",0.72
"(36, 7)",0.82
"(36, 8)",0.98
"(36, 9)",0.89
"(36, 10)",0.93
"(36, 11)",0.93
"(36, 12)",0.93
"(36, 13)",0.97
"(36, 14)",0.95
"(36, 15)",0.93
"(36, 16)",0.99
"(36, 17)",1.0
"(36, 18)",0.99
"(36, 19)",0.99
"(36, 20)",0.99
"(36, 21)",1.0
"(36, 22)",0.93
"(36, 23)",0.98
"(36, 24)",0.94
"(36, 25)",0.94
"(36, 26)",0.98
"(36, 27)",0.98
"(36, 28)",0.96
"(36, 29)",0.95
"(36, 30)",0.91
"(36, 31)",0.88
"(36, 32)",0.81
"(36, 33)",0.75
"(36, 34)",0.63
"(36, 35)",0.71
"(36, 36)",0.77
"(36, 37)",0.91
"(36, 38)",0.94
"(36, 39)",0.93
"(36, 40)",0.93
"(36, 41)",0.97
"(36, 42)",0.95
"(36, 43)",0.94
"(36, 44)",0.95
"(36, 45)",0.92
"(36, 46)",0.72
"(36, 47)",0.74
"(36, 48)",0.69
"(36, 49)",0.52
"(36, 50)",0.64
"(36, 51)",0.64
"(36, 52)",0.69
"(36, 53)",0.69
"(36, 54)",0.63
"(36, 55)",0.48
"(36, 56)",0.53
"(36, 57)",0.55
"(36, 58)",0.49
"(36, 59)",0.49
"(36, 60)",0.41
"(36, 61)",0.11
"(36, 62)",0.21
"(36, 63)",0.43
"(36, 64)",0.44
"(36, 65)",0.47
"(36, 66)",0.5
"(37, 0)",0.47
"(37, 1)",0.52
"(37, 2)",0.81
"(37, 3)",0.85
"(37, 4)",0.79
"(37, 5)",0.72
"(37, 6)",0.74
"(37, 7)",0.86
"(37, 8)",0.98
"(37, 9)",0.88
"(37, 10)",0.93
"(37, 11)",0.92
"(37, 12)",0.89
"(37, 13)",0.96
"(37, 14)",0.93
"(37, 15)",0.9
"(37, 16)",0.88
"(37, 17)",0.87
"(37, 18)",0.87
"(37, 19)",0.87
"(37, 20)",0.88
"(37, 21)",0.87
"(37, 22)",0.81
"(37, 23)",0.85
"(37, 24)",0.83
"(37, 25)",0.83
"(37, 26)",0.83
"(37, 27)",0.83
"(37, 28)",0.8
"(37, 29)",0.77
"(37, 30)",0.7
"(37, 31)",0.62
"(37, 32)",0.54
"(37, 33)",0.48
"(37, 34)",0.33
"(37, 35)",0.43
"(37, 36)",0.5
"(37, 37)",0.67
"(37, 38)",0.72
"(37, 39)",0.71
"(37, 40)",0.72
"(37, 41)",0.78
"(37, 42)",0.78
"(37, 43)",0.78
"(37, 44)",0.79
"(37, 45)",0.77
"(37, 46)",0.61
"(37, 47)",0.66
"(37, 48)",0.64
"(37, 49)",0.52
"(37, 50)",0.66
"(37, 51)",0.65
"(37, 52)",0.7
"(37, 53)",0.71
"(37, 54)",0.66
"(37, 55)",0.55
"(37, 56)",0.62
"(37, 57)",0.65
"(37, 58)",0.63
"(37, 59)",0.64
"(37, 60)",0.61
"(37, 61)",0.36
"(37, 62)",0.43
"(37, 63)",0.61
"(37, 64)",0.61
"(37, 65)",0.61
"(37, 66)",0.64
"(38, 0)",0.47
"(38, 1)",0.52
"(38, 2)",0.83
"(38, 3)",0.89
"(38, 4)",0.82
"(38, 5)",0.74
"(38, 6)",0.69
"(38, 7)",0.82
"(38, 8)",0.94
"(38, 9)",0.86
"(38, 10)",0.92
"(38, 11)",0.91
"(38, 12)",0.86
"(38, 13)",0.97
"(38, 14)",0.95
"(38, 15)",0.94
"(38, 16)",1.0
"(38, 17)",1.0
"(38, 18)",0.99
"(38, 19)",1.0
"(38, 20)",1.0
"(38, 21)",1.0
"(38, 22)",0.96
"(38, 23)",1.0
"(38, 24)",1.0
"(38, 25)",1.0
"(38, 26)",1.0
"(38, 27)",1.0
"(38, 28)",0.99
"(38, 29)",0.98
"(38, 30)",0.96
"(38, 31)",0.92
"(38, 32)",0.87
"(38, 33)",0.86
"(38, 34)",0.72
"(38, 35)",0.79
"(38, 36)",0.83
"(38, 37)",0.96
"(38, 38)",1.0
"(38, 39)",0.98
"(38, 40)",0.97
"(38, 41)",1.0
"(38, 42)",0.98
"(38, 43)",0.98
"(38, 44)",1.0
"(38, 45)",0.97
"(38, 46)",0.81
"(38, 47)",0.84
"(38, 48)",0.81
"(38, 49)",0.67
"(38, 50)",0.87
"(38, 51)",0.85
"(38, 52)",0.9
"(38, 53)",0.9
"(38, 54)",0.89
"(38, 55)",0.8
"(38, 56)",0.9
"(38, 57)",0.92
"(38, 58)",0.91
"(38, 59)",0.93
"(38, 60)",0.91
"(38, 61)",0.63
"(38, 62)",0.69
"(38, 63)",0.8
"(38, 64)",0.76
"(38, 65)",0.76
"(38, 66)",0.77
"(39, 0)",0.44
"(39, 1)",0.49
"(39, 2)",0.8
"(39, 3)",0.86
"(39, 4)",0.78
"(39, 5)",0.67
"(39, 6)",0.63
"(39, 7)",0.75
"(39, 8)",0.81
"(39, 9)",0.73
"(39, 10)",0.79
"(39, 11)",0.77
"(39, 12)",0.73
"(39, 13)",0.98
"(39, 14)",0.94
"(39, 15)",0.93
"(39, 16)",1.0
"(39, 17)",1.0
"(39, 18)",0.99
"(39, 19)",1.0
"(39, 20)",1.0
"(39, 21)",1.0
"(39, 22)",0.96
"(39, 23)",1.0
"(39, 24)",1.0
"(39, 25)",1.0
"(39, 26)",1.0
"(39, 27)",1.0
"(39, 28)",0.99
"(39, 29)",0.97
"(39, 30)",0.97
"(39, 31)",0.93
"(39, 32)",0.89
"(39, 33)",0.88
"(39, 34)",0.73
"(39, 35)",0.79
"(39, 36)",0.83
"(39, 37)",0.95
"(39, 38)",0.99
"(39, 39)",0.97
"(39, 40)",0.96
"(39, 41)",0.98
"(39, 42)",0.97
"(39, 43)",0.97
"(39, 44)",0.99
"(39, 45)",0.96
"(39, 46)",0.82
"(39, 47)",0.86
"(39, 48)",0.86
"(39, 49)",0.73
"(39, 50)",0.92
"(39, 51)",0.89
"(39, 52)",0.92
"(39, 53)",0.93
"(39, 54)",0.92
"(39, 55)",0.82
"(39, 56)",0.89
"(39, 57)",0.92
"(39, 58)",0.93
"(39, 59)",0.97
"(39, 60)",0.94
"(39, 61)",0.66
"(39, 62)",0.72
"(39, 63)",0.8
"(39, 64)",0.75
"(39, 65)",0.77
"(39, 66)",0.78
"(40, 0)",0.45
"(40, 1)",0.49
"(40, 2)",0.82
"(40, 3)",0.89
"(40, 4)",0.81
"(40, 5)",0.7
"(40, 6)",0.71
"(40, 7)",0.9
"(40, 8)",0.91
"(40, 9)",0.83
"(40, 10)",0.89
"(40, 11)",0.87
"(40, 12)",0.84
"(40, 13)",0.99
"(40, 14)",0.94
"(40, 15)",0.93
"(40, 16)",1.0
"(40, 17)",0.99
"(40, 18)",0.99
"(40, 19)",0.97
"(40, 20)",0.98
"(40, 21)",1.0
"(40, 22)",0.97
"(40, 23)",1.0
"(40, 24)",1.0
"(40, 25)",1.0
"(40, 26)",1.0
"(40, 27)",1.0
"(40, 28)",0.99
"(40, 29)",0.97
"(40, 30)",0.97
"(40, 31)",0.96
"(40, 32)",0.92
"(40, 33)",0.91
"(40, 34)",0.77
"(40, 35)",0.83
"(40, 36)",0.86
"(40, 37)",0.96
"(40, 38)",0.98
"(40, 39)",0.97
"(40, 40)",0.98
"(40, 41)",0.97
"(40, 42)",0.97
"(40, 43)",0.98
"(40, 44)",0.98
"(40, 45)",0.97
"(40, 46)",0.84
"(40, 47)",0.9
"(40, 48)",0.86
"(40, 49)",0.73
"(40, 50)",0.92
"(40, 51)",0.86
"(40, 52)",0.9
"(40, 53)",0.93
"(40, 54)",0.93
"(40, 55)",0.83
"(40, 56)",0.89
"(40, 57)",0.93
"(40, 58)",0.93
"(40, 59)",0.95
"(40, 60)",0.92
"(40, 61)",0.68
"(40, 62)",0.76
"(40, 63)",0.82
"(40, 64)",0.78
"(40, 65)",0.8
"(40, 66)",0.79
"(41, 0)",0.49
"(41, 1)",0.56
"(41, 2)",0.84
"(41, 3)",0.84
"(41, 4)",0.76
"(41, 5)",0.7
"(41, 6)",0.76
"(41, 7)",0.93
"(41, 8)",0.97
"(41, 9)",0.9
"(41, 10)",0.93
"(41, 11)",0.92
"(41, 12)",0.9
"(41, 13)",0.96
"(41, 14)",0.92
"(41, 15)",0.94
"(41, 16)",0.96
"(41, 17)",0.97
"(41, 18)",0.99
"(41, 19)",0.98
"(41, 20)",0.99
"(41, 21)",0.9
"(41, 22)",0.88
"(41, 23)",0.93
"(41, 24)",0.93
"(41, 25)",0.94
"(41, 26)",0.94
"(41, 27)",0.94
"(41, 28)",0.93
"(41, 29)",0.91
"(41, 30)",0.92
"(41, 31)",0.93
"(41, 32)",0.91
"(41, 33)",0.91
"(41, 34)",0.85
"(41, 35)",0.87
"(41, 36)",0.86
"(41, 37)",0.94
"(41, 38)",0.96
"(41, 39)",0.94
"(41, 40)",0.98
"(41, 41)",0.94
"(41, 42)",0.95
"(41, 43)",0.97
"(41, 44)",0.96
"(41, 45)",0.97
"(41, 46)",0.92
"(41, 47)",0.94
"(41, 48)",0.94
"(41, 49)",0.84
"(41, 50)",0.96
"(41, 51)",0.94
"(41, 52)",0.95
"(41, 53)",0.97
"(41, 54)",0.96
"(41, 55)",0.88
"(41, 56)",0.9
"(41, 57)",0.96
"(41, 58)",0.96
"(41, 59)",0.97
"(41, 60)",0.96
"(41, 61)",0.83
"(41, 62)",0.87
"(41, 63)",0.9
"(41, 64)",0.87
"(41, 65)",0.89
"(41, 66)",0.91
"(42, 0)",0.49
"(42, 1)",0.57
"(42, 2)",0.82
"(42, 3)",0.82
"(42, 4)",0.75
"(42, 5)",0.68
"(42, 6)",0.73
"(42, 7)",0.86
"(42, 8)",0.91
"(42, 9)",0.84
"(42, 10)",0.87
"(42, 11)",0.87
"(42, 12)",0.85
"(42, 13)",0.93
"(42, 14)",0.89
"(42, 15)",0.91
"(42, 16)",0.96
"(42, 17)",0.97
"(42, 18)",0.99
"(42, 19)",0.98
"(42, 20)",0.98
"(42, 21)",0.92
"(42, 22)",0.9
"(42, 23)",0.96
"(42, 24)",0.96
"(42, 25)",0.98
"(42, 26)",0.98
"(42, 27)",0.98
"(42, 28)",0.97
"(42, 29)",0.96
"(42, 30)",0.95
"(42, 31)",0.94
"(42, 32)",0.93
"(42, 33)",0.93
"(42, 34)",0.87
"(42, 35)",0.87
"(42, 36)",0.84
"(42, 37)",0.95
"(42, 38)",0.97
"(42, 39)",0.95
"(42, 40)",0.99
"(42, 41)",0.97
"(42, 42)",0.98
"(42, 43)",0.99
"(42, 44)",0.99
"(42, 45)",0.98
"(42, 46)",0.95
"(42, 47)",0.96
"(42, 48)",0.97
"(42, 49)",0.85
"(42, 50)",0.97
"(42, 51)",0.96
"(42, 52)",0.98
"(42, 53)",0.99
"(42, 54)",0.99
"(42, 55)",0.95
"(42, 56)",0.96
"(42, 57)",0.99
"(42, 58)",0.99
"(42, 59)",0.99
"(42, 60)",0.98
"(42, 61)",0.88
"(42, 62)",0.9
"(42, 63)",0.93
"(42, 64)",0.89
"(42, 65)",0.91
"(42, 66)",0.94
"(43, 0)",0.46
"(43, 1)",0.55
"(43, 2)",0.83
"(43, 3)",0.85
"(43, 4)",0.77
"(43, 5)",0.68
"(43, 6)",0.71
"(43, 7)",0.87
"(43, 8)",0.9
"(43, 9)",0.85
"(43, 10)",0.88
"(43, 11)",0.87
"(43, 12)",0.83
"(43, 13)",0.92
"(43, 14)",0.9
"(43, 15)",0.92
"(43, 16)",0.99
"(43, 17)",1.0
"(43, 18)",1.0
"(43, 19)",0.99
"(43, 20)",1.0
"(43, 21)",1.0
"(43, 22)",0.96
"(43, 23)",0.99
"(43, 24)",0.99
"(43, 25)",1.0
"(43, 26)",1.0
"(43, 27)",1.0
"(43, 28)",0.99
"(43, 29)",0.98
"(43, 30)",0.98
"(43, 31)",0.97
"(43, 32)",0.96
"(43, 33)",0.96
"(43, 34)",0.94
"(43, 35)",0.95
"(43, 36)",0.93
"(43, 37)",0.99
"(43, 38)",0.97
"(43, 39)",0.96
"(43, 40)",0.99
"(43, 41)",0.97
"(43, 42)",0.99
"(43, 43)",0.99
"(43, 44)",0.99
"(43, 45)",0.99
"(43, 46)",0.97
"(43, 47)",0.95
"(43, 48)",0.99
"(43, 49)",0.88
"(43, 50)",0.98
"(43, 51)",0.97
"(43, 52)",0.98
"(43, 53)",0.99
"(43, 54)",0.99
"(43, 55)",0.95
"(43, 56)",0.96
"(43, 57)",0.99
"(43, 58)",0.99
"(43, 59)",0.99
"(43, 60)",0.98
"(43, 61)",0.89
"(43, 62)",0.91
"(43, 63)",0.94
"(43, 64)",0.91
"(43, 65)",0.93
"(43, 66)",0.96
"(44, 0)",0.49
"(44, 1)",0.59
"(44, 2)",0.87
"(44, 3)",0.88
"(44, 4)",0.79
"(44, 5)",0.72
"(44, 6)",0.72
"(44, 7)",0.9
"(44, 8)",0.93
"(44, 9)",0.89
"(44, 10)",0.92
"(44, 11)",0.91
"(44, 12)",0.86
"(44, 13)",0.93
"(44, 14)",0.9
"(44, 15)",0.92
"(44, 16)",1.0
"(44, 17)",1.0
"(44, 18)",1.0
"(44, 19)",0.98
"(44, 20)",1.0
"(44, 21)",1.0
"(44, 22)",0.97
"(44, 23)",1.0
"(44, 24)",1.0
"(44, 25)",1.0
"(44, 26)",0.99
"(44, 27)",0.98
"(44, 28)",0.96
"(44, 29)",0.95
"(44, 30)",0.95
"(44, 31)",0.94
"(44, 32)",0.93
"(44, 33)",0.93
"(44, 34)",0.91
"(44, 35)",0.91
"(44, 36)",0.89
"(44, 37)",1.0
"(44, 38)",0.94
"(44, 39)",0.94
"(44, 40)",0.98
"(44, 41)",0.98
"(44, 42)",1.0
"(44, 43)",1.0
"(44, 44)",1.0
"(44, 45)",1.0
"(44, 46)",0.98
"(44, 47)",0.9616666666666667
"(44, 48)",0.97
"(44, 49)",0.87
"(44, 50)",0.96
"(44, 51)",0.96
"(44, 52)",0.98
"(44, 53)",0.99
"(44, 54)",0.99
"(44, 55)",0.95
"(44, 56)",0.96
"(44, 57)",0.99
"(44, 58)",0.99
"(44, 59)",0.99
"(44, 60)",0.98
"(44, 61)",0.89
"(44, 62)",0.91
"(44, 63)",0.94
"(44, 64)",0.91
"(44, 65)",0.93
"(44, 66)",0.96
"(45, 0)",0.48
"(45, 1)",0.58
"(45, 2)",0.87
"(45, 3)",0.88
"(45, 4)",0.78
"(45, 5)",0.71
"(45, 6)",0.71
"(45, 7)",0.9
"(45, 8)",0.94
"(45, 9)",0.9
"(45, 10)",0.94
"(45, 11)",0.93
"(45, 12)",0.85
"(45, 13)",0.93
"(45, 14)",0.9
"(45, 15)",0.92
"(45, 16)",1.0
"(45, 17)",1.0
"(45, 18)",1.0
"(45, 19)",0.98
"(45, 20)",1.0
"(45, 21)",1.0
"(45, 22)",0.98
"(45, 23)",1.0
"(45, 24)",1.0
"(45, 25)",1.0
"(45, 26)",1.0
"(45, 27)",0.99
"(45, 28)",0.98
"(45, 29)",0.98
"(45, 30)",0.98
"(45, 31)",0.97
"(45, 32)",0.95
"(45, 33)",0.95
"(45, 34)",0.93
"(45, 35)",0.92
"(45, 36)",0.9
"(45, 37)",1.0
"(45, 38)",0.97
"(45, 39)",0.96
"(45, 40)",1.0
"(45, 41)",0.98
"(45, 42)",1.0
"(45, 43)",0.99
"(45, 44)",0.99
"(45, 45)",0.99
"(45, 46)",0.97
"(45, 47)",0.93
"(45, 48)",0.95
"(45, 49)",0.86
"(45, 50)",0.95
"(45, 51)",0.95
"(45, 52)",0.98
"(45, 53)",0.99
"(45, 54)",0.99
"(45, 55)",0.96
"(45, 56)",0.97
"(45, 57)",1.0
"(45, 58)",1.0
"(45, 59)",1.0
"(45, 60)",0.98
"(45, 61)",0.89
"(45, 62)",0.91
"(45, 63)",0.94
"(45, 64)",0.91
"(45, 65)",0.93
"(45, 66)",0.96
"(46, 0)",0.49
"(46, 1)",0.6
"(46, 2)",0.9
"(46, 3)",0.89
"(46, 4)",0.76
"(46, 5)",0.69
"(46, 6)",0.7
"(46, 7)",0.88
"(46, 8)",0.95
"(46, 9)",0.89
"(46, 10)",0.92
"(46, 11)",0.9
"(46, 12)",0.79
"(46, 13)",0.91
"(46, 14)",0.89
"(46, 15)",0.92
"(46, 16)",0.99
"(46, 17)",1.0
"(46, 18)",1.0
"(46, 19)",0.98
"(46, 20)",1.0
"(46, 21)",1.0
"(46, 22)",0.99
"(46, 23)",1.0
"(46, 24)",1.0
"(46, 25)",1.0
"(46, 26)",1.0
"(46, 27)",0.99
"(46, 28)",0.98
"(46, 29)",0.99
"(46, 30)",0.96
"(46, 31)",0.95
"(46, 32)",0.89
"(46, 33)",0.9
"(46, 34)",0.88
"(46, 35)",0.85
"(46, 36)",0.85
"(46, 37)",0.96
"(46, 38)",0.9
"(46, 39)",0.94
"(46, 40)",0.99
"(46, 41)",0.99
"(46, 42)",0.99
"(46, 43)",1.0
"(46, 44)",1.0
"(46, 45)",1.0
"(46, 46)",1.0
"(46, 47)",0.98
"(46, 48)",0.98
"(46, 49)",0.88
"(46, 50)",0.97
"(46, 51)",0.96
"(46, 52)",0.98
"(46, 53)",0.99
"(46, 54)",0.99
"(46, 55)",0.97
"(46, 56)",0.98
"(46, 57)",1.0
"(46, 58)",1.0
"(46, 59)",1.0
"(46, 60)",0.98
"(46, 61)",0.89
"(46, 62)",0.91
"(46, 63)",0.94
"(46, 64)",0.91
"(46, 65)",0.93
"(46, 66)",0.96
"(47, 0)",0.48
"(47, 1)",0.59
"(47, 2)",0.86
"(47, 3)",0.86
"(47, 4)",0.74
"(47, 5)",0.68
"(47, 6)",0.69
"(47, 7)",0.87
"(47, 8)",0.94
"(47, 9)",0.9
"(47, 10)",0.92
"(47, 11)",0.9
"(47, 12)",0.8
"(47, 13)",0.93
"(47, 14)",0.9
"(47, 15)",0.93
"(47, 16)",0.99
"(47, 17)",1.0
"(47, 18)",1.0
"(47, 19)",0.98
"(47, 20)",1.0
"(47, 21)",1.0
"(47, 22)",0.99
"(47, 23)",0.98
"(47, 24)",1.0
"(47, 25)",1.0
"(47, 26)",1.0
"(47, 27)",0.99
"(47, 28)",0.99
"(47, 29)",0.99
"(47, 30)",0.96
"(47, 31)",0.94
"(47, 32)",0.88
"(47, 33)",0.89
"(47, 34)",0.88
"(47, 35)",0.86
"(47, 36)",0.87
"(47, 37)",0.96
"(47, 38)",0.91
"(47, 39)",0.95
"(47, 40)",0.99
"(47, 41)",0.99
"(47, 42)",0.99
"(47, 43)",1.0
"(47, 44)",1.0
"(47, 45)",1.0
"(47, 46)",1.0
"(47, 47)",0.98
"(47, 48)",0.98
"(47, 49)",0.87
"(47, 50)",0.97
"(47, 51)",0.96
"(47, 52)",0.98
"(47, 53)",0.99
"(47, 54)",0.98
"(47, 55)",0.96
"(47, 56)",0.97
"(47, 57)",0.99
"(47, 58)",0.99
"(47, 59)",0.99
"(47, 60)",0.96
"(47, 61)",0.88
"(47, 62)",0.9
"(47, 63)",0.93
"(47, 64)",0.9
"(47, 65)",0.92
"(47, 66)",0.95
"(48, 0)",0.45
"(48, 1)",0.57
"(48, 2)",0.83
"(48, 3)",0.83
"(48, 4)",0.72
"(48, 5)",0.64
"(48, 6)",0.64
"(48, 7)",0.81
"(48, 8)",0.87
"(48, 9)",0.85
"(48, 10)",0.85
"(48, 11)",0.83
"(48, 12)",0.75
"(48, 13)",0.89
"(48, 14)",0.87
"(48, 15)",0.9
"(48, 16)",0.99
"(48, 17)",0.99
"(48, 18)",0.99
"(48, 19)",0.98
"(48, 20)",1.0
"(48, 21)",1.0
"(48, 22)",0.99
"(48, 23)",0.98
"(48, 24)",1.0
"(48, 25)",1.0
"(48, 26)",0.99
"(48, 27)",0.98
"(48, 28)",0.98
"(48, 29)",0.98
"(48, 30)",0.96
"(48, 31)",0.93
"(48, 32)",0.87
"(48, 33)",0.88
"(48, 34)",0.88
"(48, 35)",0.86
"(48, 36)",0.87
"(48, 37)",0.97
"(48, 38)",0.9
"(48, 39)",0.95
"(48, 40)",0.99
"(48, 41)",0.99
"(48, 42)",0.98
"(48, 43)",0.99
"(48, 44)",0.99
"(48, 45)",0.99
"(48, 46)",0.99
"(48, 47)",0.97
"(48, 48)",0.97
"(48, 49)",0.86
"(48, 50)",0.95
"(48, 51)",0.94
"(48, 52)",0.96
"(48, 53)",0.97
"(48, 54)",0.97
"(48, 55)",0.95
"(48, 56)",0.96
"(48, 57)",0.98
"(48, 58)",0.98
"(48, 59)",0.98
"(48, 60)",0.96
"(48, 61)",0.87
"(48, 62)",0.89
"(48, 63)",0.92
"(48, 64)",0.91
"(48, 65)",0.93
"(48, 66)",0.96
"(49, 0)",0.44
"(49, 1)",0.57
"(49, 2)",0.8
"(49, 3)",0.78
"(49, 4)",0.69
"(49, 5)",0.59
"(49, 6)",0.6
"(49, 7)",0.77
"(49, 8)",0.83
"(49, 9)",0.81
"(49, 10)",0.81
"(49, 11)",0.77
"(49, 12)",0.67
"(49, 13)",0.91
"(49, 14)",0.91
"(49, 15)",0.91
"(49, 16)",0.97
"(49, 17)",0.96
"(49, 18)",0.98
"(49, 19)",0.97
"(49, 20)",0.99
"(49, 21)",0.99
"(49, 22)",0.98
"(49, 23)",0.97
"(49, 24)",0.99
"(49, 25)",0.98
"(49, 26)",0.97
"(49, 27)",0.96
"(49, 28)",0.96
"(49, 29)",0.94
"(49, 30)",0.92
"(49, 31)",0.88
"(49, 32)",0.83
"(49, 33)",0.85
"(49, 34)",0.84
"(49, 35)",0.83
"(49, 36)",0.84
"(49, 37)",0.95
"(49, 38)",0.88
"(49, 39)",0.93
"(49, 40)",0.97
"(49, 41)",0.98
"(49, 42)",0.97
"(49, 43)",0.98
"(49, 44)",0.98
"(49, 45)",0.99
"(49, 46)",0.99
"(49, 47)",0.97
"(49, 48)",0.97
"(49, 49)",0.86
"(49, 50)",0.95
"(49, 51)",0.94
"(49, 52)",0.96
"(49, 53)",0.97
"(49, 54)",0.97
"(49, 55)",0.95
"(49, 56)",0.96
"(49, 57)",0.98
"(49, 58)",0.98
"(49, 59)",0.98
"(49, 60)",0.96
"(49, 61)",0.87
"(49, 62)",0.89
"(49, 63)",0.92
"(49, 64)",0.91
"(49, 65)",0.93
"(49, 66)",0.96
"(50, 0)",0.44
"(50, 1)",0.56
"(50, 2)",0.8
"(50, 3)",0.79
"(50, 4)",0.68
"(50, 5)",0.57
"(50, 6)",0.58
"(50, 7)",0.71
"(50, 8)",0.77
"(50, 9)",0.77
"(50, 10)",0.77
"(50, 11)",0.71
"(50, 12)",0.65
"(50, 13)",0.89
"(50, 14)",0.9
"(50, 15)",0.9
"(50, 16)",0.94
"(50, 17)",0.92
"(50, 18)",0.95
"(50, 19)",0.95
"(50, 20)",0.96
"(50, 21)",0.96
"(50, 22)",0.95
"(50, 23)",0.94
"(50, 24)",0.95
"(50, 25)",0.93
"(50, 26)",0.93
"(50, 27)",0.92
"(50, 28)",0.92
"(50, 29)",0.9
"(50, 30)",0.88
"(50, 31)",0.86
"(50, 32)",0.82
"(50, 33)",0.84
"(50, 34)",0.84
"(50, 35)",0.83
"(50, 36)",0.84
"(50, 37)",0.93
"(50, 38)",0.86
"(50, 39)",0.91
"(50, 40)",0.96
"(50, 41)",0.97
"(50, 42)",0.96
"(50, 43)",0.97
"(50, 44)",0.97
"(50, 45)",0.98
"(50, 46)",0.98
"(50, 47)",0.96
"(50, 48)",0.96
"(50, 49)",0.86
"(50, 50)",0.95
"(50, 51)",0.94
"(50, 52)",0.96
"(50, 53)",0.97
"(50, 54)",0.97
"(50, 55)",0.95
"(50, 56)",0.96
"(50, 57)",0.98
"(50, 58)",0.98
"(50, 59)",0.98
"(50, 60)",0.96
"(50, 61)",0.87
"(50, 62)",0.89
"(50, 63)",0.92
"(50, 64)",0.91
"(50, 65)",0.93
"(50, 66)",0.96
"(51, 0)",0.47
"(51, 1)",0.6
"(51, 2)",0.83
"(51, 3)",0.81
"(51, 4)",0.71
"(51, 5)",0.59
"(51, 6)",0.62
"(51, 7)",0.73
"(51, 8)",0.79
"(51, 9)",0.78
"(51, 10)",0.78
"(51, 11)",0.72
"(51, 12)",0.68
"(51, 13)",0.89
"(51, 14)",0.88
"(51, 15)",0.9
"(51, 16)",0.94
"(51, 17)",0.91
"(51, 18)",0.93
"(51, 19)",0.94
"(51, 20)",0.96
"(51, 21)",0.97
"(51, 22)",0.96
"(51, 23)",0.95
"(51, 24)",0.96
"(51, 25)",0.96
"(51, 26)",0.95
"(51, 27)",0.94
"(51, 28)",0.94
"(51, 29)",0.92
"(51, 30)",0.9
"(51, 31)",0.88
"(51, 32)",0.86
"(51, 33)",0.88
"(51, 34)",0.86
"(51, 35)",0.86
"(51, 36)",0.88
"(51, 37)",0.96
"(51, 38)",0.89
"(51, 39)",0.94
"(51, 40)",0.98
"(51, 41)",0.99
"(51, 42)",0.98
"(51, 43)",0.99
"(51, 44)",0.99
"(51, 45)",1.0
"(51, 46)",1.0
"(51, 47)",0.98
"(51, 48)",0.98
"(51, 49)",0.87
"(51, 50)",0.96
"(51, 51)",0.95
"(51, 52)",0.97
"(51, 53)",0.98
"(51, 54)",0.98
"(51, 55)",0.96
"(51, 56)",0.97
"(51, 57)",0.99
"(51, 58)",0.99
"(51, 59)",0.99
"(51, 60)",0.97
"(51, 61)",0.88
"(51, 62)",0.9
"(51, 63)",0.93
"(51, 64)",0.91
"(51, 65)",0.93
"(51, 66)",0.96
"(52, 0)",0.49
"(52, 1)",0.61
"(52, 2)",0.88
"(52, 3)",0.85
"(52, 4)",0.76
"(52, 5)",0.62
"(52, 6)",0.62
"(52, 7)",0.73
