grid,probability
"(6, 1)",0.23
"(6, 2)",0.28
"(6, 3)",0.3
"(6, 4)",0.25
"(6, 5)",0.23
"(6, 6)",0.24
"(6, 7)",0.35
"(6, 8)",0.29
"(6, 9)",0.21
"(6, 10)",0.2
"(6, 11)",0.2
"(6, 12)",0.23
"(6, 13)",0.36
"(6, 14)",0.32
"(6, 15)",0.29
"(6, 16)",0.36
"(6, 17)",0.35
"(6, 18)",0.34
"(6, 19)",0.36
"(6, 20)",0.41
"(6, 21)",0.39
"(6, 22)",0.4
"(6, 23)",0.4
"(6, 24)",0.42
"(6, 25)",0.41
"(6, 26)",0.41
"(6, 27)",0.4
"(6, 28)",0.41
"(6, 29)",0.36
"(6, 30)",0.31
"(6, 31)",0.3
"(6, 32)",0.29
"(6, 33)",0.29
"(6, 34)",0.29
"(6, 35)",0.28
"(6, 36)",0.27
"(6, 37)",0.31
"(6, 38)",0.3
"(6, 39)",0.29
"(6, 40)",0.29
"(6, 41)",0.32
"(6, 42)",0.44
"(6, 43)",0.4
"(6, 44)",0.36
"(6, 45)",0.36
"(6, 46)",0.35
"(6, 47)",0.3
"(6, 48)",0.3
"(6, 49)",0.31
"(6, 50)",0.33
"(6, 51)",0.33
"(6, 52)",0.69
"(6, 53)",0.65
"(6, 54)",0.69
"(6, 55)",0.62
"(6, 56)",0.42
"(6, 57)",0.41
"(6, 58)",0.39
"(6, 59)",0.46
"(6, 60)",0.47
"(6, 61)",0.49
"(6, 62)",0.51
"(6, 63)",0.51
"(6, 64)",0.4
"(6, 65)",0.37
"(6, 66)",0.4
"(7, 0)",0.3
"(7, 1)",0.3
"(7, 2)",0.35
"(7, 3)",0.38
"(7, 4)",0.33
"(7, 5)",0.31
"(7, 6)",0.34
"(7, 7)",0.47
"(7, 8)",0.37
"(7, 9)",0.27
"(7, 10)",0.25
"(7, 11)",0.23
"(7, 12)",0.26
"(7, 13)",0.34
"(7, 14)",0.31
"(7, 15)",0.36
"(7, 16)",0.74
"(7, 17)",0.71
"(7, 18)",0.63
"(7, 19)",0.67
"(7, 20)",0.77
"(7, 21)",0.76
"(7, 22)",0.76
"(7, 23)",0.7
"(7, 24)",0.73
"(7, 25)",0.67
"(7, 26)",0.69
"(7, 27)",0.63
"(7, 28)",0.58
"(7, 29)",0.58
"(7, 30)",0.49
"(7, 31)",0.37
"(7, 32)",0.36
"(7, 33)",0.33
"(7, 34)",0.34
"(7, 35)",0.34
"(7, 36)",0.33
"(7, 37)",0.38
"(7, 38)",0.39
"(7, 39)",0.39
"(7, 40)",0.38
"(7, 41)",0.41
"(7, 42)",0.46
"(7, 43)",0.43
"(7, 44)",0.43
"(7, 45)",0.45
"(7, 46)",0.5
"(7, 47)",0.65
"(7, 48)",0.7
"(7, 49)",0.73
"(7, 50)",0.72
"(7, 51)",0.76
"(7, 52)",0.86
"(7, 53)",0.84
"(7, 54)",0.86
"(7, 55)",0.81
"(7, 56)",0.53
"(7, 57)",0.49
"(7, 58)",0.54
"(7, 59)",0.77
"(7, 60)",0.74
"(7, 61)",0.76
"(7, 62)",0.82
"(7, 63)",0.84
"(7, 64)",0.59
"(7, 65)",0.52
"(7, 66)",0.49
"(8, 0)",0.34
"(8, 1)",0.34
"(8, 2)",0.39
"(8, 3)",0.44
"(8, 4)",0.38
"(8, 5)",0.34
"(8, 6)",0.36
"(8, 7)",0.48
"(8, 8)",0.4
"(8, 9)",0.27
"(8, 10)",0.25
"(8, 11)",0.24
"(8, 12)",0.26
"(8, 13)",0.34
"(8, 14)",0.32
"(8, 15)",0.34
"(8, 16)",0.84
"(8, 17)",0.81
"(8, 18)",0.74
"(8, 19)",0.75
"(8, 20)",0.82
"(8, 21)",0.81
"(8, 22)",0.84
"(8, 23)",0.85
"(8, 24)",0.91
"(8, 25)",0.85
"(8, 26)",0.9
"(8, 27)",0.78
"(8, 28)",0.66
"(8, 29)",0.67
"(8, 30)",0.68
"(8, 31)",0.5
"(8, 32)",0.47
"(8, 33)",0.46
"(8, 34)",0.45
"(8, 35)",0.45
"(8, 36)",0.46
"(8, 37)",0.54
"(8, 38)",0.53
"(8, 39)",0.52
"(8, 40)",0.48
"(8, 41)",0.52
"(8, 42)",0.49
"(8, 43)",0.47
"(8, 44)",0.46
"(8, 45)",0.47
"(8, 46)",0.51
"(8, 47)",0.65
"(8, 48)",0.67
"(8, 49)",0.71
"(8, 50)",0.68
"(8, 51)",0.72
"(8, 52)",0.79
"(8, 53)",0.74
"(8, 54)",0.72
"(8, 55)",0.68
"(8, 56)",0.45
"(8, 57)",0.41
"(8, 58)",0.45
"(8, 59)",0.64
"(8, 60)",0.58
"(8, 61)",0.62
"(8, 62)",0.67
"(8, 63)",0.67
"(8, 64)",0.52
"(8, 65)",0.44
"(8, 66)",0.41
"(9, 0)",0.33
"(9, 1)",0.33
"(9, 2)",0.38
"(9, 3)",0.43
"(9, 4)",0.37
"(9, 5)",0.32
"(9, 6)",0.34
"(9, 7)",0.45
"(9, 8)",0.38
"(9, 9)",0.26
"(9, 10)",0.24
"(9, 11)",0.22
"(9, 12)",0.24
"(9, 13)",0.32
"(9, 14)",0.29
"(9, 15)",0.31
"(9, 16)",0.65
"(9, 17)",0.61
"(9, 18)",0.56
"(9, 19)",0.6
"(9, 20)",0.69
"(9, 21)",0.71
"(9, 22)",0.79
"(9, 23)",0.78
"(9, 24)",0.83
"(9, 25)",0.79
"(9, 26)",0.82
"(9, 27)",0.69
"(9, 28)",0.6
"(9, 29)",0.6
"(9, 30)",0.61
"(9, 31)",0.42
"(9, 32)",0.4
"(9, 33)",0.39
"(9, 34)",0.38
"(9, 35)",0.38
"(9, 36)",0.39
"(9, 37)",0.45
"(9, 38)",0.46
"(9, 39)",0.46
"(9, 40)",0.44
"(9, 41)",0.47
"(9, 42)",0.42
"(9, 43)",0.41
"(9, 44)",0.4
"(9, 45)",0.41
"(9, 46)",0.44
"(9, 47)",0.67
"(9, 48)",0.67
"(9, 49)",0.66
"(9, 50)",0.61
"(9, 51)",0.64
"(9, 52)",0.71
"(9, 53)",0.65
